Comment,Designator,Footprint,LCSC
10K,R33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C110775
47u,"C5,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C124129
22u,"C38,C56",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
UCC27424,"U1,U2,U20,U23,U26,U29",SOIC127P599X175-8N,C138519
Si7145DP,"Q10,Q12,Q15,Q16,Q17,Q18,Q3,Q4,Q5,Q6,Q7,Q8,Q9",PowerPAK_SO-8_Single,C144873
100k,"R19,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
Zener 8V,"D2,D3",D_SOD-123,C151594
100n,"C39,C50,C52,C55",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
D,D5,D_SOD-123F,C169542
10k,"R10,R11,R21,R28,R3,R40,R41,R46,R47,R52,R53,R59",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
470,"R12,R13,R27,R30,R4,R42,R44,R48,R49,R54,R55,R61",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710
4u7,C53,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
2N7002H,Q19,SOT-23,C22446827
TLV1117LV-3.3,U15,SOT-223-3_TabPin2,C23984
1K,R37,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C242161
SW_SPST,"SW1,SW2",SW_Push_1P1T_NO_6x6mm_H9.5mm,C255812
3.3k,"R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010
10K,"R24,R29",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2759535
1uF,"C1,C23",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
1200 0.1%,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2838713
TPSM53603RDA,U22,Texas_B3QFN-14-1EP_5x5.5mm_P0.65mm_ThermalVia,C2860943
1m 1%,"R14,R15,R16,R17,R18,R20,R22,R23,R32,R8,R9",R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,C2903470
Screw_Terminal_01x04,"J16,J21,J8","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",C2915641
XT90PW-F,J24,AMASS_XT90PW-F,C3040690
10uF,"C2,C3",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C363964
G6DN-1A-SL DC12,K1,G6DN-1A-L,C397210
22R,"R35,R36",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C417075
10µF,"C22,C26,C28,C30,C33,C35",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
SiR182DP,"Q1,Q13,Q2",PowerPAK_SO-8_Single,C467943
CP2104,U14,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C47742
Polyfuse 1A,F9,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C6165191
UMH3N,Q14,SOT-363_SC-70-6,C62892
MCP23017T-E_SO,U8,SOIC127P1030X265-28N,C629440
ESP32-WROOM-32D,U12,ESP32-WROOM-32UE,C701344
2.49K,R34,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C705842
18000 0.1%,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C706223
Screw_Terminal_01x02,"J1,J12,J13,J14,J15,J17,J18,J19,J2,J20,J23,J3,J4,J5,J7",TerminalBlock_bornier-2_P5.08mm,C709041
BHFUSE BSMD2920-300-30V ,"F1,F2,F4",Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,C7190311
USB_B,J22,CONN4_10-BRW_XNP,C720549
D_Schottky,D4,D_SOD-323_HandSoldering,C7380001
USBLC6-2P6,U13,SOT-23-6_Handsoldering,C7519
100nF,"C10,C12,C16,C18,C19,C20,C21,C24,C25,C27,C29,C32,C34,C37,C4,C6,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C77082
BLM21PG221,FB2,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C85840
D_Schottky-3A,D6,D_SMA_Handsoldering,C8678
INA219AxDCN,"U10,U11,U16,U17,U18,U19,U21,U3,U4,U5,U7",SOT-23-8_Handsoldering,C87469
BHFUSE BSMD2920-200-33V ,"F3,F5,F6,F7",Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,C910843
GREEN,D1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C965804
22u,"C44,C51,C54",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C98190
