Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.9,-117.7375,90.0,top
C2,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,155.7875,-110.2,0.0,top
C3,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,155.8,-113.85,0.0,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.25,-80.75,90.0,top
C5,47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.4875,-110.05,180.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.6,-69.8375,-90.0,top
C7,47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.4125,-113.975,180.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.9,-93.4375,-90.0,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.0,-106.6375,-90.0,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.9,-146.2,-90.0,top
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.7,-119.5375,-90.0,top
C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.9,-132.5375,-90.0,top
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,199.25,-134.95,-90.0,top
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,200.2,-156.5625,-90.0,top
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,198.6,-115.8625,-90.0,top
C22,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.329,-88.940499,-90.0,top
C23,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,182.341,-116.76,90.0,top
C24,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.32,-84.633,90.0,top
C25,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.218,-67.321,-90.0,top
C26,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.758,-67.321,-90.0,top
C27,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,189.7,-128.15,90.0,top
C28,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.3,-128.1,90.0,top
C29,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,188.15,-90.825,-90.0,top
C30,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.75,-90.7875,-90.0,top
C32,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.85,-132.375,-90.0,top
C33,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.85,-136.4125,90.0,top
C34,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.7,-107.7875,90.0,top
C35,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.15,-107.75,90.0,top
C37,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,196.4,-94.9375,90.0,top
C38,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,135.75,-109.55,180.0,top
C39,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.65,-50.65,90.0,top
C44,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.25,-49.2625,-90.0,top
C50,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.3,-48.8825,-90.0,top
C51,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.4125,-63.4125,0.0,top
