Reference	Value	Package	LCSC	MFR Part	MANUFACTURER	Datasheet	Qty	DNP
C38,C44,C51,C54,C56	22u	-- mixed values --	-- mixed values --	-- mixed values --	Samsung Electro-Mechanics	~	5	
R24,R29,R33	10K	-- mixed values --	-- mixed values --	-- mixed values --	-- mixed values --	~	3	
C39,C50,C52,C55	100n	0402	C1525	CL05B104KO5NNNC	Samsung Electro-Mechanics	~	4	
C53	4u7	0805	C1779	CL21A475KAQNNNE	Samsung Electro-Mechanics	~	1	
U13	USBLC6-2P6	SOT-23-6L	C7519	USBLC6-2SC6	STMicroelectronics	https://www.st.com/resource/en/datasheet/usblc6-2.pdf	1	
D6	D_Schottky-3A	SMA(DO-214AC)	C8678	SS34	MDD(Microdiode Semiconductor)	~	1	
R3,R10,R11,R21,R28,R40,R41,R46,R47,R52,R53,R59	10k	0805	C17414	0805W8F1002T5E	UNI-ROYAL(Uniroyal Elec)	~	12	
R4,R12,R13,R27,R30,R42,R44,R48,R49,R54,R55,R61	470	0805	C17710	0805W8F4700T5E	UNI-ROYAL(Uniroyal Elec)	~	12	
U15	TLV1117LV-3.3	SOT-223	C23984	LM1117IMPX-3.3/NOPB	Texas Instruments	http://www.ti.com/lit/ds/symlink/lm1117.pdf	1	
R5,R6	3.3k	0805	C26010	0805W8F3301T5E	UNI-ROYAL(Uniroyal Elec)	~	2	
C1,C23	1uF	0805	C28323	CL21B105KBFNNNE	Samsung Electro-Mechanics	~	2	
U14	CP2104	QFN-24-EP(4x4)	C47742	CP2104-F03-GMR	SKYWORKS/SILICON LABS	https://www.silabs.com/documents/public/data-sheets/cp2104.pdf	1	
Q14	UMH3N	SOT-363	C62892	UMH3N	Jiangsu Changjing Electronics Technology Co., Ltd.	http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/digital/emh3t2r-e.pdf	1	
C4,C6,C8,C10,C12,C16,C18,C19,C20,C21,C24,C25,C27,C29,C32,C34,C37	100nF	0805	C77082	GRM21BR71H104KA01L	Murata Electronics	~	17	
FB2	BLM21PG221	0805	C85840	BLM21PG221SN1D	Murata Electronics	~	1	
U3,U4,U5,U7,U10,U11,U16,U17,U18,U19,U21	INA219AxDCN	SOT-23-8	C87469	INA219AIDCNR	Texas Instruments	http://www.ti.com/lit/ds/symlink/ina219.pdf	11	
C5,C7	47u	0805	C124129	GRM21BR61A476ME15L	Murata Electronics	~	2	
U1,U2,U20,U23,U26,U29	UCC27424	SOP-8	C138519	UCC27424DR	Texas Instruments	https://www.ti.com/lit/ds/symlink/ucc27425.pdf	6	
