Comment,Designator,Footprint,LCSC
10K 0.1%,"R30,R32",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C110775
1K,"R22,R62",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702
47u,"C80,C81,C87,C88",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C124129
22u,"C10,C11",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
100n,"C1,C104,C13,C16,C17,C18,C19,C2,C21,C22,C23,C24,C26,C27,C28,C32,C33,C34,C36,C37,C39,C40,C42,C44,C48,C5,C56,C57,C6,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C73,C74,C77,C8,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
10u,"C20,C25,C72,C75",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
0,"R39,R49,R51,R53,R63,R65,R67,R69,R78,R79,R80,R81,R82,R83,R84",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17168
1u,"C14,C15,C47,C49",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1848
TUSB4041IPAP,"U1,U10",IC_TFP410PAP,C192089
Polyfuse,F1,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,C207091
90.9k 1%,R37,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2076677
30k 1%,"R1,R10,R12,R14,R4,R6,R8",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25776
4.7k,"R17,R18,R40,R41,R43,R45,R46,R47",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25900
1M,"R23,R42",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C26083
USB_A,"J10,J11,J12,J13,J14,J15,J9",JING_C26235,C26235
1u,"C29,C79,C86",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
TPSM53603RDA,"U22,U23",Texas_B3QFN-14-1EP_5x5.5mm_P0.65mm_ThermalVia,C2860943
TLV73311,"U21,U9",SOT-23-5,C2865431
150uF,"C43,C45,C50,C51,C52,C54,C76",CP_Elec_5x5.8,C336797
24MHz,"Y1,Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C362340
10uF,"C53,C55,C84,C85",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C363964
2.2u,C62,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C385032
BSS138,"Q15,Q16,Q17,Q18,Q19,Q20,Q21",SOT-23,C40912
TPS25221DBVR,"U13,U14,U15,U16,U17,U18,U2",SOT95P280X145-6N,C470965
TLV75733,U7,SOT-23-5,C485517
18pF,"C30,C31,C58,C61",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C5137554
2.49K 0.1%,"R31,R33",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C705842
Conn_01x02,J7,TerminalBlock_bornier-2_P5.08mm,C709041
10k,"R11,R13,R15,R16,R19,R2,R20,R21,R25,R26,R3,R38,R5,R7,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C71617
USB_B,J16,USB_B_OST_USB-B1HSxx_Horizontal,C720549
TS3USB30ERSWR,"U11,U12,U19,U3,U5,U6,U8",UQFN-10_1.4x1.8mm_P0.4mm,C73880
USBLC6-2P6,U4,SOT-23-6_Handsoldering,C7519
BLM21PG221,"FB1,FB11,FB12,FB13,FB14,FB15,FB16,FB17,FB18,FB2,FB3",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C85840
Conn_01x08,J8,TerminalBlock_TE_282834-8_1x08_P2.54mm_Horizontal,C918126
9.53k,"R24,R44",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C96273
GREEN,D1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C965804
